surface_x,surface_y,gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,frac_seasoning,OilPeakRate,sibling_well,batch_concurrent_frac
1379915.895,717845.0063,3810.03937,12.0,286571.4286,1621423.513,8801.181102,4.532599493153256,10.78571595,0,0
1384890.551,706581.9752,4017.716535,11.0,135363.7857,1016598.657,8605.314961,3.367295829986474,83.51298912,0,0
1389082.076,716751.1858,3355.314961,10.269002105610909,111142.8571,562187.6703,8718.503937000001,3.4657359027997265,35.41595786,0,0
1390002.907,705866.9511,3786.417323,11.467878191784305,93000.0,671352.7109999999,8544.291339,3.044522437723423,207.3924924,1,0
1386198.38,706392.7193,3535.433071,11.025602439383789,117142.8571,440176.08,8627.952756,3.9889840465642745,34.52071963,0,0
1600425.468,719084.1058,4437.992126,15.674091962540281,182857.1429,1321109.121,4128.937008,3.7376696182833684,28.28571866,0,0
1365931.3269999998,632625.1553,4478.346457,16.201114579321455,270950.6231,1132306.175,3148.622047,2.833213344056216,181.9159012,0,0
1360789.8280000002,637237.193,4676.1811020000005,17.403474318931444,349571.4286,851399.6318,3169.291339,2.772588722239781,197.02384,0,0
1347654.383,616930.9112,4085.629921,15.870503727226984,311000.0,1439950.2230000002,8862.764933518107,3.332204510175204,143.55954599999998,0,0
1366880.129,641626.8941,4430.11811,17.70173475747302,350428.5714,1505329.233,3267.716535,3.713572066704308,128.2317659,0,0
1354502.2769999998,634064.043,4994.094488000001,20.31774599226234,408857.1429,1720422.7659999998,3166.338583,3.295836866004329,70.73810619,0,0
1366108.374,630434.2771,5265.748031,20.90514041356144,388285.7143,1673907.259,3117.125984,3.1780538303479458,148.2833563,0,0
1075267.529,624922.4484,3668.307087,12.145966413008125,151000.0,995509.7969,9655.511811,3.2188758248682006,19.15357439,0,0
1093383.159,709141.0332,3937.007874,15.711408761587654,339428.5714,1590207.246,7830.708661,2.995732273553991,87.96804933,0,0
1098196.758,737392.3599,4118.110236,12.921687804670999,134017.7143,497730.9104,7822.834645999999,3.2188758248682006,64.32143853,0,0
1295349.529,710399.8039,1938.976378,10.514404156698443,138548.7143,1846747.786,3909.448819,3.6375861597263857,39.66667281,0,0
1111652.553,692558.3682,3312.992126,9.801011160599188,99504.42857,409979.492,6596.456693,3.4011973816621555,163.5833586,0,0
